"time","state.hour","state.value"
"2022-01-25T09:56:36.894+03:00",,"0"
"2022-01-25T10:53:25.365+03:00",,"0"
"2022-01-25T11:17:48.915+03:00",,"1"
"2022-01-25T11:17:55.052+03:00",,"0"
"2022-01-25T11:30:40.698+03:00",,"1"
"2022-01-25T11:30:48.417+03:00",,"0"
"2022-01-25T11:36:05.578+03:00",,"1"
"2022-01-25T11:36:08.387+03:00",,"0"
"2022-01-25T11:53:27.565+03:00",,"0"
"2022-01-25T12:29:44.575+03:00",,"1"
"2022-01-25T12:29:57.934+03:00",,"0"
"2022-01-25T12:37:10.658+03:00",,"1"
"2022-01-25T12:37:11.256+03:00",,"0"
"2022-01-25T12:53:28.592+03:00",,"0"
"2022-01-25T13:45:57.955+03:00",,"1"
"2022-01-25T13:46:26.479+03:00",,"0"
"2022-01-25T13:53:30.051+03:00",,"0"
"2022-01-25T14:00:27.017+03:00",,"1"
"2022-01-25T14:00:31.011+03:00",,"0"
"2022-01-25T14:18:30.375+03:00",,"1"
"2022-01-25T14:19:10.461+03:00",,"0"
"2022-01-25T14:32:05.949+03:00",,"1"
"2022-01-25T14:35:18.406+03:00",,"0"
"2022-01-25T14:53:32.774+03:00",,"0"
"2022-01-25T15:09:31.598+03:00",,"1"
"2022-01-25T15:09:52.244+03:00",,"0"
"2022-01-25T15:53:33.635+03:00",,"0"
"2022-01-25T16:57:44.005+03:00",,"1"
"2022-01-25T16:57:52.840+03:00",,"0"
"2022-01-25T17:09:05.609+03:00",,"1"
"2022-01-25T17:09:12.840+03:00",,"0"
"2022-01-25T18:41:46.678+03:00",,"1"
"2022-01-25T18:41:51.509+03:00",,"0"
"2022-01-25T18:43:48.113+03:00",,"1"
"2022-01-25T18:43:51.997+03:00",,"0"
"2022-01-25T18:53:38.053+03:00",,"0"
"2022-01-25T19:30:51.201+03:00",,"1"
"2022-01-25T19:31:44.950+03:00",,"0"
"2022-01-25T19:40:56.724+03:00",,"1"
"2022-01-25T19:41:31.838+03:00",,"0"
"2022-01-25T19:52:42.008+03:00",,"1"
"2022-01-25T19:52:54.267+03:00",,"0"
"2022-01-25T19:53:37.647+03:00",,"0"
"2022-01-25T20:22:52.862+03:00",,"1"
"2022-01-25T20:23:32.774+03:00",,"0"
"2022-01-25T20:53:41.552+03:00",,"0"
"2022-01-25T21:53:42.655+03:00",,"0"
"2022-01-25T22:53:44.554+03:00",,"0"
"2022-01-25T23:49:26.591+03:00",,"0"
"2022-01-25T23:53:45.959+03:00",,"0"
"2022-01-26T00:53:47.948+03:00",,"0"
